index,a,b,c,d,e
1827,double-dip,double-dips,double-dipped,double-dipped,double-dipping
1828,double-fault,double-faults,double-faulted,double-faulted,double-faulting
1829,double-glaze,double-glazes,double-glazed,double-glazed,double-glazing
1830,double-park,double-parks,double-parked,double-parked,double-parking
1831,doublebook,doublebooks,doublebooked,doublebooked,doublebooking
1832,doublecheck,doublechecks,doublechecked,doublechecked,doublechecking
1833,doubleclick,doubleclicks,doubleclicked,doubleclicked,doubleclicking
1834,doublecross,doublecrosses,doublecrossed,doublecrossed,doublecrossing
1835,doubledate,doubledates,doubledated,doubledated,doubledating
1836,doubledip,doubledips,doubledipped,doubledipped,doubledipping
1837,doublefault,doublefaults,doublefaulted,doublefaulted,doublefaulting
1838,doubleglaze,doubleglazes,doubleglazed,doubleglazed,doubleglazing
1839,doublepark,doubleparks,doubleparked,doubleparked,doubleparking
1840,doubt,doubts,doubted,doubted,doubting
1841,douche,douches,douched,douched,douching
1842,douse,douses,doused,doused,dousing
1843,dovetail,dovetails,dovetailed,dovetailed,dovetailing
1844,down,downs,downed,downed,downing
1845,downchange,downchanges,downchanged,downchanged,downchanging
1846,downgrade,downgrades,downgraded,downgraded,downgrading
1847,downlink,downlinks,downlinked,downlinked,downlinking
1848,download,downloads,downloaded,downloaded,downloading
1849,downplay,downplays,downplayed,downplayed,downplaying
1850,downscale,downscales,downscaled,downscaled,downscaling
1851,downshift,downshifts,downshifted,downshifted,downshifting
1852,downsise,downsises,downsised,downsised,downsising
1853,downsize,downsizes,downsized,downsized,downsizing
1854,dowse,dowses,dowsed,dowsed,dowsing
1855,doze,dozes,dozed,dozed,dozing
1856,draft,drafts,drafted,drafted,drafting
1857,drag,drags,dragged,dragged,dragging
1858,dragoon,dragoons,dragooned,dragooned,dragooning
1859,drain,drains,drained,drained,draining
1860,dramatise,dramatises,dramatised,dramatised,dramatising
1861,dramatize,dramatizes,dramatized,dramatized,dramatizing
1862,drape,drapes,draped,draped,draping
1863,draught,draughts,draughted,draughted,draughting
1864,draw,draws,drew,drawn,drawing
1865,drawl,drawls,drawled,drawled,drawling
1866,dread,dreads,dreaded,dreaded,dreading
1867,dream,dreams,dreamed,dreamed,dreaming
1868,dream,dreams,dreamt,dreamt,dreaming
1869,dredge,dredges,dredged,dredged,dredging
1870,drench,drenches,drenched,drenched,drenching
1871,dress,dresses,dressed,dressed,dressing
1872,dribble,dribbles,dribbled,dribbled,dribbling
1873,drift,drifts,drifted,drifted,drifting
1874,drill,drills,drilled,drilled,drilling
1875,drink,drinks,drank,drunk,drinking
1876,drip,drips,dripped,dripped,dripping
1877,drip-feed,drip-feeds,drip-fed,drip-fed,drip-feeding
1878,dripfeed,dripfeeds,dripfed,dripfed,dripfeeding
1879,drive,drives,drove,driven,driving
1880,drivel,drivels,drivelled,drivelled,drivelling
1881,drizzle,drizzles,drizzled,drizzled,drizzling
1882,drone,drones,droned,droned,droning
1883,drool,drools,drooled,drooled,drooling
1884,droop,droops,drooped,drooped,drooping
1885,drop,drops,dropped,dropped,dropping
1886,drop-kick,drop-kicks,drop-kicked,drop-kicked,drop-kicking
1887,dropkick,dropkicks,dropkicked,dropkicked,dropkicking
1888,drown,drowns,drowned,drowned,drowning
1889,drowse,drowses,drowsed,drowsed,drowsing
1890,drug,drugs,drugged,drugged,drugging
1891,drum,drums,drummed,drummed,drumming
1892,dry,dries,dried,dried,drying
1893,dry-clean,dry-cleans,dry-cleaned,dry-cleaned,dry-cleaning
1894,dryclean,drycleans,drycleaned,drycleaned,drycleaning
1895,dub,dubs,dubbed,dubbed,dubbing
1896,duck,ducks,ducked,ducked,ducking
1897,duel,duels,duelled,duelled,duelling
1898,duet,duets,duetted,duetted,duetting
1899,duff,duffs,duffed,duffed,duffing
1900,duke,dukes,duked,duked,duking
1901,dull,dulls,dulled,dulled,dulling
1902,dumb,dumbs,dumbed,dumbed,dumbing
1903,dumbfound,dumbfounds,dumbfounded,dumbfounded,dumbfounding
1904,dummy,dummies,dummied,dummied,dummying
1905,dump,dumps,dumped,dumped,dumping
1906,dunk,dunks,dunked,dunked,dunking
1907,dunt,dunts,dunted,dunted,dunting
1908,dupe,dupes,duped,duped,duping
1909,duplicate,duplicates,duplicated,duplicated,duplicating
1910,dust,dusts,dusted,dusted,dusting
1911,dwarf,dwarfs,dwarfed,dwarfed,dwarfing
1912,dwell,dwells,dwelt,dwelt,dwelling
1913,dwell,dwells,dwelled,dwelled,dwelling
1914,dwindle,dwindles,dwindled,dwindled,dwindling
1915,dye,dyes,dyed,dyed,dyeing
1916,enwind,enwinds,enwound,enwound,enwounding
1917,dynamite,dynamites,dynamited,dynamited,dynamiting
1918,eagle,eagles,eagled,eagled,eagling
1919,earmark,earmarks,earmarked,earmarked,earmarking
1920,earn,earns,earned,earned,earning
1921,earth,earths,earthed,earthed,earthing
1922,ease,eases,eased,eased,easing
1923,eat,eats,ate,eaten,eating
1924,eavesdrop,eavesdrops,eavesdropped,eavesdropped,eavesdropping
1925,ebay,ebays,ebayed,ebayed,ebaying
1926,ebb,ebbs,ebbed,ebbed,ebbing
1927,echo,echoes,echoed,echoed,echoing
1928,eclipse,eclipses,eclipsed,eclipsed,eclipsing
1929,economise,economises,economised,economised,economising
1930,economize,economizes,economized,economized,economizing
1931,eddy,eddies,eddied,eddied,eddying
1932,edge,edges,edged,edged,edging
1933,edify,edifies,edified,edified,edifying
1934,edit,edits,edited,edited,editing
1935,editorialise,editorialises,editorialised,editorialised,editorialising
1936,editorialize,editorializes,editorialized,editorialized,editorializing
1937,educate,educates,educated,educated,educating
1938,eff,effs,effed,effed,effing
1939,efface,effaces,effaced,effaced,effacing
1940,effect,effects,effected,effected,effecting
1941,effectuate,effectuates,effectuated,effectuated,effectuating
1942,effervesce,effervesces,effervesced,effervesced,effervescing
1943,egg,eggs,egged,egged,egging
1944,egosurf,egosurfs,egosurfed,egosurfed,egosurfing
1945,ejaculate,ejaculates,ejaculated,ejaculated,ejaculating
1946,eject,ejects,ejected,ejected,ejecting
1947,eke,ekes,eked,eked,eking
1948,elaborate,elaborates,elaborated,elaborated,elaborating
1949,elapse,elapses,elapsed,elapsed,elapsing
1950,elbow,elbows,elbowed,elbowed,elbowing
1951,elect,elects,elected,elected,electing
1952,electrify,electrifies,electrified,electrified,electrifying
1953,electrocute,electrocutes,electrocuted,electrocuted,electrocuting
1954,electroplate,electroplates,electroplated,electroplated,electroplating
1955,elevate,elevates,elevated,elevated,elevating
1956,elicit,elicits,elicited,elicited,eliciting
1957,elide,elides,elided,elided,eliding
1958,eliminate,eliminates,eliminated,eliminated,eliminating
1959,elongate,elongates,elongated,elongated,elongating
1960,elope,elopes,eloped,eloped,eloping
1961,elucidate,elucidates,elucidated,elucidated,elucidating
1962,elude,eludes,eluded,eluded,eluding
1963,email,emails,emailed,emailed,emailing
1964,emanate,emanates,emanated,emanated,emanating
1965,emancipate,emancipates,emancipated,emancipated,emancipating
1966,emasculate,emasculates,emasculated,emasculated,emasculating
1967,embalm,embalms,embalmed,embalmed,embalming
1968,embargo,embargoes,embargoed,embargoed,embargoing
1969,embark,embarks,embarked,embarked,embarking
1970,embarrass,embarrasses,embarrassed,embarrassed,embarrassing
1971,embed,embeds,embedded,embedded,embedding
1972,embellish,embellishes,embellished,embellished,embellishing
1973,embezzle,embezzles,embezzled,embezzled,embezzling
1974,embitter,embitters,embittered,embittered,embittering
1975,emblazon,emblazons,emblazoned,emblazoned,emblazoning
1976,embody,embodies,embodied,embodied,embodying
1977,embolden,emboldens,emboldened,emboldened,emboldening
1978,emboss,embosses,embossed,embossed,embossing
1979,embrace,embraces,embraced,embraced,embracing
1980,embroider,embroiders,embroidered,embroidered,embroidering
1981,embroil,embroils,embroiled,embroiled,embroiling
1982,emcee,emcees,emceed,emceed,emceeing
1983,emend,emends,emended,emended,emending
1984,emerge,emerges,emerged,emerged,emerging
1985,emigrate,emigrates,emigrated,emigrated,emigrating
1986,emit,emits,emitted,emitted,emitting
1987,emote,emotes,emoted,emoted,emoting
1988,empanel,empanels,empaneled,empaneled,empaneling
1989,empathise,empathises,empathised,empathised,empathising
1990,empathize,empathizes,empathized,empathized,empathizing
1991,emphasise,emphasises,emphasised,emphasised,emphasising
1992,emphasize,emphasizes,emphasized,emphasized,emphasizing
1993,employ,employs,employed,employed,employing
1994,empower,empowers,empowered,empowered,empowering
1995,empty,empties,emptied,emptied,emptying
1996,emulate,emulates,emulated,emulated,emulating
1997,emulsify,emulsifies,emulsified,emulsified,emulsifying
1998,enable,enables,enabled,enabled,enabling
1999,enact,enacts,enacted,enacted,enacting
2000,enamel,enamels,enamelled,enamelled,enamelling
2001,encamp,encamps,encamped,encamped,encamping
2002,encapsulate,encapsulates,encapsulated,encapsulated,encapsulating
2003,encase,encases,encased,encased,encasing
2004,encash,encashes,encashed,encashed,encashing
2005,enchant,enchants,enchanted,enchanted,enchanting
2006,encircle,encircles,encircled,encircled,encircling
2007,enclose,encloses,enclosed,enclosed,enclosing
2008,encode,encodes,encoded,encoded,encoding
2009,encompass,encompasses,encompassed,encompassed,encompassing
2010,encounter,encounters,encountered,encountered,encountering
2011,encourage,encourages,encouraged,encouraged,encouraging
2012,encroach,encroaches,encroached,encroached,encroaching
2013,encrypt,encrypts,encrypted,encrypted,encrypting
2014,encumber,encumbers,encumbered,encumbered,encumbering
2015,end,ends,ended,ended,ending
2016,endanger,endangers,endangered,endangered,endangering
2017,endear,endears,endeared,endeared,endearing
2018,endeavour,endeavours,endeavoured,endeavoured,endeavouring
2019,endorse,endorses,endorsed,endorsed,endorsing
2020,endow,endows,endowed,endowed,endowing
2021,endure,endures,endured,endured,enduring
2022,energise,energises,energised,energised,energising
2023,energize,energizes,energized,energized,energizing
2024,enervate,enervates,enervated,enervated,enervating
2025,enfeeble,enfeebles,enfeebled,enfeebled,enfeebling
2026,enfold,enfolds,enfolded,enfolded,enfolding
2027,enforce,enforces,enforced,enforced,enforcing
2028,enfranchise,enfranchises,enfranchised,enfranchised,enfranchising
2029,engage,engages,engaged,engaged,engaging
2030,engender,engenders,engendered,engendered,engendering
2031,engineer,engineers,engineered,engineered,engineering
2032,engorge,engorges,engorged,engorged,engorging
2033,engrave,engraves,engraved,engraved,engraving
2034,engross,engrosses,engrossed,engrossed,engrossing
2035,engulf,engulfs,engulfed,engulfed,engulfing
2036,enhance,enhances,enhanced,enhanced,enhancing
2037,enjoin,enjoins,enjoined,enjoined,enjoining
2038,enjoy,enjoys,enjoyed,enjoyed,enjoying
2039,enlarge,enlarges,enlarged,enlarged,enlarging
2040,enlighten,enlightens,enlightened,enlightened,enlightening
2041,enlist,enlists,enlisted,enlisted,enlisting
2042,enliven,enlivens,enlivened,enlivened,enlivening
2043,enmesh,enmeshes,enmeshed,enmeshed,enmeshing
2044,ennoble,ennobles,ennobled,ennobled,ennobling
2045,enquire,enquires,enquired,enquired,enquiring
2046,enrage,enrages,enraged,enraged,enraging
2047,enrapture,enraptures,enraptured,enraptured,enrapturing
2048,enrich,enriches,enriched,enriched,enriching
2049,enrol,enrols,enrolled,enrolled,enrolling
2050,ensconce,ensconces,ensconced,ensconced,ensconcing
2051,enshrine,enshrines,enshrined,enshrined,enshrining
2052,enshroud,enshrouds,enshrouded,enshrouded,enshrouding
2053,enslave,enslaves,enslaved,enslaved,enslaving
2054,ensnare,ensnares,ensnared,ensnared,ensnaring
2055,ensue,ensues,ensued,ensued,ensuing
2056,ensure,ensures,ensured,ensured,ensuring
2057,entail,entails,entailed,entailed,entailing
2058,entangle,entangles,entangled,entangled,entangling
2059,enter,enters,entered,entered,entering
2060,entertain,entertains,entertained,entertained,entertaining
2061,enthral,enthrals,enthralled,enthralled,enthralling
2062,enthrone,enthrones,enthroned,enthroned,enthroning
2063,enthuse,enthuses,enthused,enthused,enthusing
2064,entice,entices,enticed,enticed,enticing
2065,entitle,entitles,entitled,entitled,entitling
2066,entomb,entombs,entombed,entombed,entombing
2067,entrance,entrances,entranced,entranced,entrancing
2068,entrap,entraps,entrapped,entrapped,entrapping
2069,entreat,entreats,entreated,entreated,entreating
2070,entrench,entrenches,entrenched,entrenched,entrenching
2071,entrust,entrusts,entrusted,entrusted,entrusting
2072,entwine,entwines,entwined,entwined,entwining
2073,enumerate,enumerates,enumerated,enumerated,enumerating
2074,enunciate,enunciates,enunciated,enunciated,enunciating
2075,envelop,envelops,enveloped,enveloped,enveloping
2076,envisage,envisages,envisaged,envisaged,envisaging
2077,envision,envisions,envisioned,envisioned,envisioning
2078,envy,envies,envied,envied,envying
2079,epitomise,epitomises,epitomised,epitomised,epitomising
2080,epitomize,epitomizes,epitomized,epitomized,epitomizing
2081,equal,equals,equalled,equalled,equalling
2082,equalise,equalises,equalised,equalised,equalising
2083,equalize,equalizes,equalized,equalized,equalizing
2084,equate,equates,equated,equated,equating
2085,equip,equips,equipped,equipped,equipping
2086,equivocate,equivocates,equivocated,equivocated,equivocating
2087,eradicate,eradicates,eradicated,eradicated,eradicating
2088,erase,erases,erased,erased,erasing
2089,erect,erects,erected,erected,erecting
2090,erode,erodes,eroded,eroded,eroding
2091,err,errs,erred,erred,erring
2092,erupt,erupts,erupted,erupted,erupting
2093,escalate,escalates,escalated,escalated,escalating
2094,escape,escapes,escaped,escaped,escaping
2095,eschew,eschews,eschewed,eschewed,eschewing
2096,escort,escorts,escorted,escorted,escorting
2097,espouse,espouses,espoused,espoused,espousing
2098,espy,espies,espied,espied,espying
2099,essay,essays,essayed,essayed,essaying
2100,establish,establishes,established,established,establishing
2101,esteem,esteems,esteemed,esteemed,esteeming
2102,estimate,estimates,estimated,estimated,estimating
2103,etch,etches,etched,etched,etching
2104,eulogise,eulogises,eulogised,eulogised,eulogising
2105,eulogize,eulogizes,eulogized,eulogized,eulogizing
2106,europeanise,europeanises,europeanised,europeanised,europeanising
2107,europeanize,europeanizes,europeanized,europeanized,europeanizing
2108,euthanise,euthanises,euthanised,euthanised,euthanising
2109,euthanize,euthanizes,euthanized,euthanized,euthanizing
2110,evacuate,evacuates,evacuated,evacuated,evacuating
2111,evade,evades,evaded,evaded,evading
2112,evaluate,evaluates,evaluated,evaluated,evaluating
2113,evangelise,evangelises,evangelised,evangelised,evangelising
2114,evangelize,evangelizes,evangelized,evangelized,evangelizing
2115,evaporate,evaporates,evaporated,evaporated,evaporating
2116,even,evens,evened,evened,evening
2117,eventuate,eventuates,eventuated,eventuated,eventuating
2118,evict,evicts,evicted,evicted,evicting
2119,evidence,evidences,evidenced,evidenced,evidencing
2120,evince,evinces,evinced,evinced,evincing
2121,eviscerate,eviscerates,eviscerated,eviscerated,eviscerating
2122,evoke,evokes,evoked,evoked,evoking
2123,evolve,evolves,evolved,evolved,evolving
2124,exacerbate,exacerbates,exacerbated,exacerbated,exacerbating
2125,exact,exacts,exacted,exacted,exacting
2126,exaggerate,exaggerates,exaggerated,exaggerated,exaggerating
2127,exalt,exalts,exalted,exalted,exalting
2128,examine,examines,examined,examined,examining
2129,exasperate,exasperates,exasperated,exasperated,exasperating
2130,excavate,excavates,excavated,excavated,excavating
2131,exceed,exceeds,exceeded,exceeded,exceeding
2132,excel,excels,excelled,excelled,excelling
2133,except,excepts,excepted,excepted,excepting
2134,excerpt,excerpts,excerpted,excerpted,excerpting
2135,exchange,exchanges,exchanged,exchanged,exchanging
2136,excise,excises,excised,excised,excising
2137,excite,excites,excited,excited,exciting
2138,exclaim,exclaims,exclaimed,exclaimed,exclaiming
2139,exclude,excludes,excluded,excluded,excluding
2140,excommunicate,excommunicates,excommunicated,excommunicated,excommunicating
2141,excoriate,excoriates,excoriated,excoriated,excoriating
2142,excrete,excretes,excreted,excreted,excreting
2143,exculpate,exculpates,exculpated,exculpated,exculpating
2144,excuse,excuses,excused,excused,excusing
2145,execrate,execrates,execrated,execrated,execrating
2146,execute,executes,executed,executed,executing
2147,exemplify,exemplifies,exemplified,exemplified,exemplifying
2148,exempt,exempts,exempted,exempted,exempting
2149,exercise,exercises,exercised,exercised,exercising
2150,exert,exerts,exerted,exerted,exerting
2151,exfoliate,exfoliates,exfoliated,exfoliated,exfoliating
2152,exhale,exhales,exhaled,exhaled,exhaling
2153,exhaust,exhausts,exhausted,exhausted,exhausting
2154,exhibit,exhibits,exhibited,exhibited,exhibiting
2155,exhilarate,exhilarates,exhilarated,exhilarated,exhilarating
2156,exhort,exhorts,exhorted,exhorted,exhorting
2157,exhume,exhumes,exhumed,exhumed,exhuming
2158,exile,exiles,exiled,exiled,exiling
2159,exist,exists,existed,existed,existing
2160,exit,exits,exited,exited,exiting
2161,exonerate,exonerates,exonerated,exonerated,exonerating
2162,exorcise,exorcises,exorcised,exorcised,exorcising
2163,exorcize,exorcizes,exorcized,exorcized,exorcizing
2164,expand,expands,expanded,expanded,expanding
2165,expatiate,expatiates,expatiated,expatiated,expatiating
2166,expect,expects,expected,expected,expecting
2167,expectorate,expectorates,expectorated,expectorated,expectorating
2168,expedite,expedites,expedited,expedited,expediting
2169,expel,expels,expelled,expelled,expelling
2170,expend,expends,expended,expended,expending
2171,experience,experiences,experienced,experienced,experiencing
2172,experiment,experiments,experimented,experimented,experimenting
2173,expiate,expiates,expiated,expiated,expiating
2174,expire,expires,expired,expired,expiring
2175,explain,explains,explained,explained,explaining
2176,explicate,explicates,explicated,explicated,explicating
2177,explode,explodes,exploded,exploded,exploding
2178,exploit,exploits,exploited,exploited,exploiting
2179,explore,explores,explored,explored,exploring
2180,export,exports,exported,exported,exporting
2181,expose,exposes,exposed,exposed,exposing
2182,expostulate,expostulates,expostulated,expostulated,expostulating
2183,expound,expounds,expounded,expounded,expounding
2184,express,expresses,expressed,expressed,expressing
2185,expropriate,expropriates,expropriated,expropriated,expropriating
2186,expunge,expunges,expunged,expunged,expunging
2187,expurgate,expurgates,expurgated,expurgated,expurgating
2188,extemporise,extemporises,extemporised,extemporised,extemporising
2189,extemporize,extemporizes,extemporized,extemporized,extemporizing
2190,extend,extends,extended,extended,extending
2191,exterminate,exterminates,exterminated,exterminated,exterminating
2192,externalise,externalises,externalised,externalised,externalising
2193,externalize,externalizes,externalized,externalized,externalizing
2194,extinguish,extinguishes,extinguished,extinguished,extinguishing
2195,extirpate,extirpates,extirpated,extirpated,extirpating
2196,extol,extols,extolled,extolled,extolling
2197,extort,extorts,extorted,extorted,extorting
2198,extract,extracts,extracted,extracted,extracting
2199,extradite,extradites,extradited,extradited,extraditing
2200,extrapolate,extrapolates,extrapolated,extrapolated,extrapolating
2201,extricate,extricates,extricated,extricated,extricating
2202,extrude,extrudes,extruded,extruded,extruding
2203,exude,exudes,exuded,exuded,exuding
2204,exult,exults,exulted,exulted,exulting
2205,eye,eyes,eyed,eyed,eyeing
2206,eyeball,eyeballs,eyeballed,eyeballed,eyeballing
2207,fabricate,fabricates,fabricated,fabricated,fabricating
2208,face,faces,faced,faced,facing
2209,facepalm,facepalms,facepalmed,facepalmed,facepalming
2210,facilitate,facilitates,facilitated,facilitated,facilitating
2211,factor,factors,factored,factored,factoring
2212,factorise,factorises,factorised,factorised,factorising
2213,factorize,factorizes,factorized,factorized,factorizing
2214,fade,fades,faded,faded,fading
2215,faff,faffs,faffed,faffed,faffing
2216,fail,fails,failed,failed,failing
2217,faint,faints,fainted,fainted,fainting
2218,fake,fakes,faked,faked,faking
2219,fall,falls,fell,fallen,falling
2220,falsify,falsifies,falsified,falsified,falsifying
2221,falter,falters,faltered,faltered,faltering
2222,familiarise,familiarises,familiarised,familiarised,familiarising
2223,familiarize,familiarizes,familiarized,familiarized,familiarizing
2224,fan,fans,fanned,fanned,fanning
2225,fancy,fancies,fancied,fancied,fancying
2226,fantasise,fantasises,fantasised,fantasised,fantasising
2227,fantasize,fantasizes,fantasized,fantasized,fantasizing
2228,fare,fares,fared,fared,faring
2229,farewell,farewells,farewelled,farewelled,farewelling
2230,farm,farms,farmed,farmed,farming
2231,farrow,farrows,farrowed,farrowed,farrowing
2232,fart,farts,farted,farted,farting
2233,fascinate,fascinates,fascinated,fascinated,fascinating
2234,fashion,fashions,fashioned,fashioned,fashioning
2235,fast,fasts,fasted,fasted,fasting
2236,fast-forward,fast-forwards,fast-forwarded,fast-forwarded,fast-forwarding
2237,fast-track,fast-tracks,fast-tracked,fast-tracked,fast-tracking
2238,fasten,fastens,fastened,fastened,fastening
2239,fastforward,fastforwards,fastforwarded,fastforwarded,fastforwarding
2240,fasttrack,fasttracks,fasttracked,fasttracked,fasttracking
2241,fat-finger,fat-fingers,fat-fingered,fat-fingered,fat-fingering
2242,fatfinger,fatfingers,fatfingered,fatfingered,fatfingering
2243,father,fathers,fathered,fathered,fathering
2244,fathom,fathoms,fathomed,fathomed,fathoming
2245,fatten,fattens,fattened,fattened,fattening
2246,fault,faults,faulted,faulted,faulting
2247,favor,favors,favored,favored,favoring
2248,favour,favours,favoured,favoured,favouring
2249,fawn,fawns,fawned,fawned,fawning
2250,fax,faxes,faxed,faxed,faxing
2251,faze,fazes,fazed,fazed,fazing
2252,fear,fears,feared,feared,fearing
2253,feast,feasts,feasted,feasted,feasting
2254,feather,feathers,feathered,feathered,feathering
2255,feather-bed,feather-beds,feather-bedded,feather-bedded,feather-bedding
2256,featherbed,featherbeds,featherbedded,featherbedded,featherbedding
2257,feature,features,featured,featured,featuring
2258,federate,federates,federated,federated,federating
2259,feed,feeds,fed,fed,feeding
2260,feel,feels,felt,felt,feeling
2261,feign,feigns,feigned,feigned,feigning
2262,feint,feints,feinted,feinted,feinting
2263,fell,fells,felled,felled,felling
2264,fellate,fellates,fellated,fellated,fellating
2265,feminise,feminises,feminised,feminised,feminising
2266,feminize,feminizes,feminized,feminized,feminizing
2267,fence,fences,fenced,fenced,fencing
2268,fend,fends,fended,fended,fending
2269,feng shui,feng shuis,feng shuied,feng shuied,feng shuiing
2270,ferment,ferments,fermented,fermented,fermenting
2271,ferret,ferrets,ferreted,ferreted,ferreting
2272,ferry,ferries,ferried,ferried,ferrying
2273,fertilise,fertilises,fertilised,fertilised,fertilising
2274,fertilize,fertilizes,fertilized,fertilized,fertilizing
2275,fess,fesses,fessed,fessed,fessing
2276,fester,festers,festered,festered,festering
2277,festoon,festoons,festooned,festooned,festooning
2278,fetch,fetches,fetched,fetched,fetching
2279,fete,fetes,feted,feted,feting
2280,fetishise,fetishises,fetishised,fetishised,fetishising
2281,fetishize,fetishizes,fetishized,fetishized,fetishizing
2282,fetter,fetters,fettered,fettered,fettering
2283,feud,feuds,feuded,feuded,feuding
2284,fib,fibs,fibbed,fibbed,fibbing
2285,fictionalise,fictionalises,fictionalised,fictionalised,fictionalising
2286,fictionalize,fictionalizes,fictionalized,fictionalized,fictionalizing
2287,fiddle,fiddles,fiddled,fiddled,fiddling
2288,fidget,fidgets,fidgeted,fidgeted,fidgeting
2289,field,fields,fielded,fielded,fielding
2290,field-test,field-tests,field-tested,field-tested,field-testing
2291,fieldtest,fieldtests,fieldtested,fieldtested,fieldtesting
2292,fight,fights,fought,fought,fighting
2293,figure,figures,figured,figured,figuring
2294,filch,filches,filched,filched,filching
2295,file,files,filed,filed,filing
2296,filibuster,filibusters,filibustered,filibustered,filibustering
2297,fill,fills,filled,filled,filling
2298,fillet,fillets,filleted,filleted,filleting
2299,film,films,filmed,filmed,filming
2300,filter,filters,filtered,filtered,filtering
2301,finagle,finagles,finagled,finagled,finagling
2302,finalise,finalises,finalised,finalised,finalising
2303,finalize,finalizes,finalized,finalized,finalizing
2304,finance,finances,financed,financed,financing
2305,find,finds,found,found,finding
2306,fine,fines,fined,fined,fining
2307,fine-tune,fine-tunes,fine-tuned,fine-tuned,fine-tuning
2308,finesse,finesses,finessed,finessed,finessing
2309,finetune,finetunes,finetuned,finetuned,finetuning
2310,finger,fingers,fingered,fingered,fingering
2311,fingerprint,fingerprints,fingerprinted,fingerprinted,fingerprinting
2312,finish,finishes,finished,finished,finishing
2313,fink,finks,finked,finked,finking
2314,fire,fires,fired,fired,firing
2315,firebomb,firebombs,firebombed,firebombed,firebombing
2316,firm,firms,firmed,firmed,firming
2317,first-foot,first-foots,first-footed,first-footed,first-footing
2318,firstfoot,firstfoots,firstfooted,firstfooted,firstfooting
2319,fish,fishes,fished,fished,fishing
2320,fishtail,fishtails,fishtailed,fishtailed,fishtailing
2321,fist-bump,fist-bumps,fist-bumped,fist-bumped,fist-bumping
2322,fist-pump,fist-pumps,fist-pumped,fist-pumped,fist-pumping
2323,fistbump,fistbumps,fistbumped,fistbumped,fistbumping
2324,fistpump,fistpumps,fistpumped,fistpumped,fistpumping
2325,fit,fits,fit,fit,fitting
2326,fit,fits,fitted,fitted,fitting
2327,fix,fixes,fixed,fixed,fixing
2328,fizz,fizzes,fizzed,fizzed,fizzing
2329,fizzle,fizzles,fizzled,fizzled,fizzling
2330,flag,flags,flagged,flagged,flagging
2331,flagellate,flagellates,flagellated,flagellated,flagellating
2332,flail,flails,flailed,flailed,flailing
2333,flake,flakes,flaked,flaked,flaking
2334,flambe,flambï¿½s,flambï¿½ed,flambï¿½ed,flambï¿½ing
2335,flame,flames,flamed,flamed,flaming
2336,flank,flanks,flanked,flanked,flanking
2337,flannel,flannels,flannelled,flannelled,flannelling
2338,flap,flaps,flapped,flapped,flapping
2339,flare,flares,flared,flared,flaring
2340,flash,flashes,flashed,flashed,flashing
2341,flat,flats,flatted,flatted,flatting
2342,flatline,flatlines,flatlined,flatlined,flatlining
2343,flatten,flattens,flattened,flattened,flattening
2344,flatter,flatters,flattered,flattered,flattering
2345,flaunt,flaunts,flaunted,flaunted,flaunting
2346,flavour,flavours,flavoured,flavoured,flavouring
2347,flay,flays,flayed,flayed,flaying
2348,fleck,flecks,flecked,flecked,flecking
2349,flee,flees,fled,fled,fleeing
2350,fleece,fleeces,fleeced,fleeced,fleecing
2351,flesh,fleshes,fleshed,fleshed,fleshing
2352,flex,flexes,flexed,flexed,flexing
2353,flick,flicks,flicked,flicked,flicking
2354,flicker,flickers,flickered,flickered,flickering
2355,flight,flights,flighted,flighted,flighting
2356,flinch,flinches,flinched,flinched,flinching
2357,fling,flings,flung,flung,flinging
2358,flip,flips,flipped,flipped,flipping
2359,flip-flop,flip-flops,flip-flopped,flip-flopped,flip-flopping
2360,flipflop,flipflops,flipflopped,flipflopped,flipflopping
2361,flirt,flirts,flirted,flirted,flirting
2362,flit,flits,flitted,flitted,flitting
2363,float,floats,floated,floated,floating
2364,flock,flocks,flocked,flocked,flocking
2365,flog,flogs,flogged,flogged,flogging
2366,flood,floods,flooded,flooded,flooding
2367,floodlight,floodlights,floodlit,floodlit,floodlighting
2368,floor,floors,floored,floored,flooring
2369,flop,flops,flopped,flopped,flopping
2370,floss,flosses,flossed,flossed,flossing
2371,flounce,flounces,flounced,flounced,flouncing
2372,flounder,flounders,floundered,floundered,floundering
2373,flour,flours,floured,floured,flouring
2374,flourish,flourishes,flourished,flourished,flourishing
2375,flout,flouts,flouted,flouted,flouting
2376,flow,flows,flowed,flowed,flowing
2377,flower,flowers,flowered,flowered,flowering
2378,flub,flubs,flubbed,flubbed,flubbing
2379,fluctuate,fluctuates,fluctuated,fluctuated,fluctuating
2380,fluff,fluffs,fluffed,fluffed,fluffing
2381,flummox,flummoxes,flummoxed,flummoxed,flummoxing
2382,flunk,flunks,flunked,flunked,flunking
2383,fluoridate,fluoridates,fluoridated,fluoridated,fluoridating
2384,flush,flushes,flushed,flushed,flushing
2385,fluster,flusters,flustered,flustered,flustering
2386,flutter,flutters,fluttered,fluttered,fluttering
2387,fly,flies,flew,flown,flying
2388,fly-kick,fly-kicks,fly-kicked,fly-kicked,fly-kicking
2389,fly-post,fly-posts,fly-posted,fly-posted,fly-posting
2390,fly-tip,fly-tips,fly-tipped,fly-tipped,fly-tipping
2391,flykick,flykicks,flykicked,flykicked,flykicking
2392,flypost,flyposts,flyposted,flyposted,flyposting
